issue_number,title,creator,assignees
2248,Poetry add fails if there is a mercurial repo in src,tiktuk,finswimmer
2207,Enhancing the virtual environment usage for 'poetry run' command,meakbiyik,sdispater
2184,Enable offline installations: poetry install --download-only; poetry install --offline,jabozzo,Secrus
2357,Optional dependencies are generated as required in wheel,cutwater,Secrus
2115,"""Unable to detect the current shell."" when running Vagrant command",ghost,finswimmer
2110,source repository broken in poetry 1.0.4,mbelang,sdispater
2093,cannot import name create_environment with virtualenv >= 20,cjw296,finswimmer
2062,Poetry cannot properly parse URL with Gitlab [deploy tokens],xinbinhuang,finswimmer
2038,"[AttributeError] ""Call"" object has no attribute ""id""",prakashjayy,finswimmer
2004,'ë' in author name raise an error during `poetry install`,raphaelyancey,raphaelyancey
1993,Lightweight core library,sdispater,sdispater
1992,Bundle command,sdispater,sdispater
1985,AssertionError from poetry add Naked,shangxiao,sdispater
1946,"Exception on poetry build, incorrect gitignore handling logic.",kawing-chiu,finswimmer
1931,Parsing of Wheel version from PEP508 url does not completely extract version number,edwardgeorge,edwardgeorge
1906,Display why package was installed,shenek,shenek
2353,Including tests dir in sdist breaks install,TheErk,kasteph
1902,Regular expression catastrophic backtracking in Git URL parsing,mschwager,finswimmer
1816,add `develop` option for git dependencies,shenek,shenek
1798,"""poetry list"" is not defined",michaelaye,finswimmer
1770,About environment mangement and .venv folder,squirrel532,finswimmer
1761,Install git: Setup.py Parsing,duichwer,finswimmer
1757,Relative path imports are resolved relative to CWD instead of pyproject.toml,swist,"sdispater, finswimmer"
1746,Adding git dependency from subproject failes,finswimmer,finswimmer
1739,Report actual pyproject.toml error text in event of InvalidRequirement error,shintoo,Secrus
1735,The specified Python version (3.8) is not supported by the project (^3.7).,jobevers,sdispater
1697,Github SSH String and SdistBuilder Incompatible,wakemaster39,finswimmer
1689,Installing directory poetry package with dependencies in secondary source fails,wakemaster39,finswimmer
1639,'poetry init' should use existing pyproject.toml file,dekoza,finswimmer
1612,All dependencies are always updated,wylee,sdispater
1611,"Unsolicited messages output to stdout, --quiet does not do anything",rdaysky,sdispater
1609,Extras of a dependency's dependency are not installed,hukkin,sdispater
1597,Exclude is not respected when building package.,mhozza,finswimmer
1590,Parseable format for `poetry version`,pgilad,finswimmer
1581,Please submit poetry as proposal for pip 2020 RfP,dekoza,sdispater
1566,poetry v1.0.0b4 breaks on zip packages,garyd203,sdispater
1396,SSL certificate on poetry.eustace.io expired,mrshu,sdispater
1394,Downgrading says it's updating,im-n1,Secrus
1389,Managing semver vs pep440,bersace,"sdispater, brycedrennan, kasteph"
1379,tool.poetry.packages handles wildcards * and ** incorrectly in pyproject.toml,geryogam,kasteph
1336,Include exclude globs with whitelist pattern,dpgaspar,finswimmer
1328,"Period(s) in repository ""name"" causes issues",Caligatio,Secrus
1293,poetry export --extras does not export sub-dependencies,tommilligan,tommilligan
1238,Maximum recursion depth exceeded,barrachri,sdispater
1214,Install globally with --user,raxod502,richin13
1208,Add ability to append build number to version identifier at build time,TheFriendlyCoder,sdispater
1009,SDist builds incorrectly auto detects subpackages of excluded files/directories,johnslemmer,finswimmer
991,Poetry cant resolve with git dependency,mozartilize,sdispater
965,RunCommand incorrectly sets sys.argv for Poetry scripts,chdsbd,chdsbd
897,export requirements.txt - local dependency file exported as editable,visciang,finswimmer
755,Dependency rooted in a subfolder of a GIT repository,sandrinr,finswimmer
707,Poetry `add` and `init` can create incompatible settings in pyproject.toml,nottrobin,Secrus
693,[Discussion] Poetry to provide a decent hook-based plugin system,webknjaz,sdispater
621,Add a way to set a fixed Python version for a project,sdispater,sdispater
537,Feature Request: poetry deploy,digitalresistor,sdispater
536,Poetry 0.12.3 uses Python 2.7.10 despite specifying 3.7.0,maxcountryman,sdispater
520,Poetry fails to install p4python due to read-only files,epage,epage
477,Conda has a good solver to properly resolve dependencies in Python (and any other language ecosystem),mingwandroid,kasteph
342,Improve the installation of Poetry,sdispater,sdispater
310,`poetry init` should accept the long license name in addition to the abbreviation,nchammas,sdispater
286,"If .venv is an empty directory, poetry installs dependencies globally",jacebrowning,finswimmer
280,"Default README format to Markdown in ""new""?",taion,finswimmer
236,Adding a package with the same name as your local package results in an AssertionError,jaroel,avirlrma
105,Conda compatibility,extraymond,sdispater
